src,dst,n_events,sum_tt,mean_tt,prob,w_invtt
GTM,NIC,14,761.833333333334,54.4166666666667,0.00120285247873529,0.0183767228177641
DMA,NIC,6,830.833333333333,138.472222222222,0.00418994413407821,0.00722166499498496
MUS,ZAF,2,353.833333333334,176.916666666667,0.00113765642775882,0.00565237870937352
MYS,JPN,9,1456.5,161.833333333333,6.11022852254674e-05,0.00617919670442842
AGO,NGA,1,172.916666666667,172.916666666667,0.000441696113074205,0.00578313253012047
MEX,BLZ,10760,115305.666666668,10.7161400247832,0.527761428291152,0.0933171830236725
SAU,SDN,7891,769747.666666665,97.5475436150887,0.223231208803644,0.0102514113932575
ARG,CHL,30677,567659.833333337,18.5044115569755,0.977223496432212,0.054041167260087
IRQ,QAT,4483,430427.083333336,96.0131794185446,0.118607296875413,0.0104152368045303
ITA,TUN,1150,130781.916666667,113.723405797102,0.025502284117621,0.00879326461418276
IND,THA,5574,595735.500000001,106.877556512379,0.183060199021314,0.00935650133322588
IDN,PHL,17438,2073622.50000001,118.914009634133,0.170336218180397,0.00840943807274462
HTI,MEX,990,123715.083333333,124.964730639731,0.0333008173836994,0.00800225787612801
SAU,ERI,1955,185721.5,94.9982097186702,0.0553056663554839,0.0105265141623345
ESP,TUN,2989,386539.916666669,129.320815211331,0.0556351791530945,0.00773270720854828
BGR,ROU,490,7116.33333333334,14.5231292517007,0.958904109589041,0.0688556841069839
GHA,BEN,1285,16101,12.5299610894942,0.0846341302772838,0.0798087075336935
MNE,GRC,230,31387.6666666667,136.468115942029,0.0227835562159485,0.00732771895542834
SYR,LBN,1682,24579.5000000001,14.6132580261594,0.472206625491297,0.0684310095811549
HRV,ALB,188,23009.0833333334,122.388741134752,0.00700995562847235,0.00817068621450223
CUB,GTM,21,2220.25,105.726190476191,0.00587248322147651,0.00945839432496339
DEU,SWE,935,58217.4166666667,62.2646167557933,0.0210865790126519,0.0160604859084266
MMR,LKA,412,41006.6666666667,99.5307443365697,0.0122208050307003,0.0100471468053975
